id,label
110499,0
101319,0
108883,1
100925,0
110852,0
109538,1
108874,0
100082,0
110470,1
109725,1
103874,1
108214,1
102266,0
112940,1
102318,0
102162,0
106268,1
101888,0
108397,1
100901,1
106980,1
106283,1
110891,0
103818,0
111938,0
106200,0
109116,1
107311,1
102213,0
112378,0
110819,1
112456,0
110846,1
104540,0
110136,1
110718,0
103530,1
101797,0
110143,1
102987,0
108970,1
102506,1
109392,0
100695,0
103336,1
110388,0
101995,1
109812,0
107717,1
106342,1
112201,1
104207,1
105057,0
100110,1
103594,0
110747,1
101456,1
108880,1
103008,1
112871,1
101314,1
110408,0
110125,1
106336,1
104844,0
101023,0
110072,1
107032,1
105883,1
101843,1
108219,1
110919,0
104064,0
103193,1
100828,1
103003,0
101164,0
100528,1
103058,0
105311,0
103760,0
106328,0
102560,1
112713,1
110644,1
100809,1
110002,1
100998,1
107593,1
110869,0
109575,0
104607,0
100909,1
106267,1
112285,1
109520,1
100407,0
101775,1
100014,0
103061,1
112266,0
112412,1
109710,1
110987,0
109718,1
104144,1
103589,1
102550,1
106958,1
103499,0
111890,1
109223,1
106925,1
108481,0
112029,1
108155,1
105843,1
101345,1
107741,1
102728,0
100850,0
100504,1
105346,0
109888,0
108400,1
104394,0
101142,1
102330,1
108077,1
101814,0
102177,1
109238,1
100574,1
109178,0
106081,1
106866,0
109104,1
105642,0
100929,0
101772,1
103053,1
102481,0
107776,1
105950,1
103950,0
103100,0
109152,0
107769,1
103549,1
104228,1
107568,0
110815,1
111073,1
103370,1
109466,0
111769,0
112206,1
107069,0
105031,1
111235,0
103743,1
104359,1
111945,1
108791,0
109643,1
101520,0
112325,0
101469,0
108466,1
103537,1
108822,0
102741,1
101743,0
104771,0
100372,1
102904,1
106915,1
102556,0
101691,1
108082,0
110304,0
108477,1
104413,0
107838,1
105236,1
104888,1
108660,1
101097,1
100898,0
109257,1
111778,0
110487,1
109544,0
103107,0
107387,0
110344,0
111476,1
105187,0
107940,1
110249,1
104546,0
104241,1
109098,0
112880,1
103990,1
104564,0
109692,0
100304,0
101494,1
101688,0
111661,1
101406,0
112311,1
103768,0
108906,0
106001,1
107261,1
110949,1
111273,1
100640,0
107352,0
110660,0
106307,1
103154,0
111774,0
110081,1
112079,0
104736,0
104177,0
105138,0
103292,1
100016,0
111430,1
104809,1
103027,0
107704,0
110441,1
107177,1
109366,0
111095,1
100937,0
110243,1
104071,1
102230,1
100006,1
106089,0
100475,1
103025,0
105558,0
102373,0
102413,1
110502,0
100718,1
111564,1
104578,1
102524,1
105505,1
105822,0
107768,0
104746,1
103572,1
111349,0
105990,0
101898,0
111599,1
105625,1
110983,0
101698,1
102444,0
106942,1
112167,0
110343,0
102487,1
102324,0
101909,0
109097,0
112284,1
106728,0
100520,0
106520,1
111748,1
109923,0
112841,1
100904,0
102151,0
109478,0
106786,1
111885,0
106019,0
101001,0
104347,1
107252,0
101006,0
107273,0
106234,1
105976,1
110358,0
104906,0
112316,0
108597,0
100961,0
107412,0
102753,0
102348,0
111274,1
106296,0
110746,0
112058,0
103325,0
109233,0
103252,0
102264,0
103083,1
102659,1
100786,1
109234,1
105808,1
111093,1
108148,0
101394,1
110584,1
109972,1
110836,0
100721,0
110938,1
104584,1
105383,0
106788,1
106155,1
112908,0
102150,1
105203,0
101715,1
112455,0
108842,1
110082,0
112942,1
100705,1
112726,0
106994,1
101067,0
107180,1
106284,0
103534,1
102845,1
111677,1
112109,0
102912,0
105550,1
106888,0
108368,1
105278,1
107129,0
109092,1
108075,0
112502,0
108458,0
104122,1
100248,0
107418,1
104573,1
110435,1
104076,1
100580,1
103249,0
107921,1
111163,1
104534,1
111762,0
101005,0
112380,1
104189,1
111382,0
111360,1
111491,1
104634,1
100019,0
108508,0
101208,0
100406,0
109405,1
110400,1
110944,1
109839,1
109048,0
108306,0
106725,1
104821,0
108233,0
108501,0
112805,1
109357,0
101950,0
109081,1
104895,0
107504,0
105095,0
103218,0
109781,0
104440,1
102486,0
105292,0
109455,1
107573,0
108675,0
107912,0
101256,1
108732,0
105884,0
105742,0
110252,1
101160,0
102337,0
104059,1
104964,0
109072,0
107310,0
101555,1
112589,0
107524,1
105359,0
101799,1
106124,1
109952,1
103740,1
111591,0
106796,1
108702,0
102925,0
109750,1
101117,0
110173,0
104216,1
108034,1
111464,1
101690,0
102502,1
104017,0
104969,1
106563,0
102708,0
104315,0
107949,0
101783,1
112633,1
109523,0
101952,1
104913,0
106127,0
109918,0
103597,1
100626,0
110532,0
111904,1
104702,1
112522,0
103890,0
111598,1
101615,0
104742,1
102436,1
109227,0
106660,1
104631,1
101201,1
101200,1
100783,1
105728,0
104586,1
112391,0
100594,0
106204,1
109619,1
111640,0
110300,1
100675,1
105688,0
103735,1
110467,0
110687,1
107239,1
106822,1
100222,0
100932,0
112107,1
107176,1
110279,1
107633,1
100726,0
100441,1
107750,1
109585,0
109177,0
111735,0
110367,1
111448,1
105273,1
100521,1
107166,0
101999,0
107806,0
107204,0
111201,0
106867,1
102427,1
101807,1
101717,0
101798,1
111477,0
102644,1
102501,0
108035,1
111521,0
101537,1
108356,1
100286,0
107242,0
111714,1
105167,0
110132,1
111089,0
103455,0
108129,1
108659,0
105818,1
112405,0
107955,1
102699,1
109322,1
106530,0
103531,1
106449,0
108177,1
112243,1
111503,1
112610,1
109879,0
101320,1
105521,1
106854,0
103015,0
102806,0
111549,1
109175,1
106923,0
110101,1
105515,0
106881,1
108681,1
103213,0
112889,0
101859,0
109701,1
107681,1
106195,0
109674,1
103005,0
111013,0
106148,1
101946,0
107392,1
106944,1
111628,0
112535,0
102976,0
111976,1
108753,0
109078,1
111849,0
111126,0
103276,0
110392,0
112099,1
101135,0
106852,1
102954,0
104156,0
107929,0
106258,0
103923,0
102588,1
111871,0
107857,1
112687,1
103316,1
107245,0
109059,0
101446,0
110753,1
103126,0
110941,0
106300,1
104317,0
108102,0
100351,0
103974,1
112652,1
109992,1
104857,1
101420,1
108473,0
109149,1
106158,1
103237,1
110699,0
110134,1
106553,0
112863,0
103436,0
100403,0
101302,1
112354,0
105699,0
111914,0
110784,0
112817,0
101530,0
112654,1
105635,1
103037,1
109827,0
106476,0
110698,1
104222,1
103411,1
107340,1
106772,1
101879,0
107376,1
111034,0
103658,0
107832,0
101730,0
100984,0
109734,0
105251,0
107827,1
102762,0
104530,1
111892,1
112292,1
102390,1
102251,1
109602,0
104277,1
102924,0
111128,1
111889,1
109052,0
106299,1
101091,0
101192,1
106777,1
103679,1
103859,0
105864,1
103980,0
105640,0
100220,0
109535,1
101607,1
108843,1
105212,1
102066,1
110385,1
106535,1
106798,0
108764,1
111788,0
100193,0
106374,0
105917,1
101794,0
100871,1
103926,0
101460,0
101428,1
108092,1
109752,1
109468,0
110297,1
112894,0
107471,1
101848,1
103868,1
111250,0
109819,0
103278,1
110381,0
